,league,side,teamname,result,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
46,LPL,Blue,Top Esports,0,24815.0,31121.0,608.0,23864.0,31228.0,590.0,951.0,-107.0,18.0,1.0,1.0,0.0,0.0,0.0,1.0
47,LPL,Red,Suning,1,23864.0,31228.0,590.0,24815.0,31121.0,608.0,-951.0,107.0,-18.0,0.0,0.0,1.0,1.0,1.0,0.0
58,LPL,Blue,Top Esports,0,27355.0,32158.0,560.0,25210.0,32578.0,516.0,2145.0,-420.0,44.0,5.0,6.0,6.0,6.0,9.0,5.0
59,LPL,Red,Suning,1,25210.0,32578.0,516.0,27355.0,32158.0,560.0,-2145.0,420.0,-44.0,6.0,9.0,5.0,5.0,6.0,6.0
70,LPL,Blue,Oh My God,0,24131.0,29284.0,527.0,24588.0,30502.0,543.0,-457.0,-1218.0,-16.0,2.0,3.0,3.0,3.0,5.0,2.0
71,LPL,Red,EDward Gaming,1,24588.0,30502.0,543.0,24131.0,29284.0,527.0,457.0,1218.0,16.0,3.0,5.0,2.0,2.0,3.0,3.0
82,LPL,Blue,EDward Gaming,0,23389.0,29977.0,535.0,26454.0,31438.0,552.0,-3065.0,-1461.0,-17.0,2.0,2.0,5.0,5.0,11.0,2.0
83,LPL,Red,Oh My God,1,26454.0,31438.0,552.0,23389.0,29977.0,535.0,3065.0,1461.0,17.0,5.0,11.0,2.0,2.0,2.0,5.0
94,LPL,Blue,Oh My God,0,25531.0,30812.0,536.0,25255.0,30977.0,562.0,276.0,-165.0,-26.0,4.0,7.0,3.0,3.0,3.0,4.0
95,LPL,Red,EDward Gaming,1,25255.0,30977.0,562.0,25531.0,30812.0,536.0,-276.0,165.0,26.0,3.0,3.0,4.0,4.0,7.0,3.0
358,LPL,Blue,Team WE,1,23473.0,28050.0,500.0,23211.0,27605.0,477.0,262.0,445.0,23.0,4.0,11.0,4.0,4.0,15.0,4.0
359,LPL,Red,Rogue Warriors,0,23211.0,27605.0,477.0,23473.0,28050.0,500.0,-262.0,-445.0,-23.0,4.0,15.0,4.0,4.0,11.0,4.0
370,LPL,Blue,Rogue Warriors,0,26010.0,27822.0,458.0,25147.0,28957.0,523.0,863.0,-1135.0,-65.0,7.0,17.0,3.0,3.0,7.0,7.0
371,LPL,Red,Team WE,1,25147.0,28957.0,523.0,26010.0,27822.0,458.0,-863.0,1135.0,65.0,3.0,7.0,7.0,7.0,17.0,3.0
382,LPL,Blue,Invictus Gaming,1,26180.0,29992.0,526.0,23989.0,29979.0,534.0,2191.0,13.0,-8.0,7.0,12.0,3.0,3.0,4.0,7.0
383,LPL,Red,JD Gaming,0,23989.0,29979.0,534.0,26180.0,29992.0,526.0,-2191.0,-13.0,8.0,3.0,4.0,7.0,7.0,12.0,3.0
394,LPL,Blue,Invictus Gaming,1,25439.0,29225.0,508.0,26061.0,29765.0,495.0,-622.0,-540.0,13.0,6.0,9.0,4.0,4.0,7.0,6.0
395,LPL,Red,JD Gaming,0,26061.0,29765.0,495.0,25439.0,29225.0,508.0,622.0,540.0,-13.0,4.0,7.0,6.0,6.0,9.0,4.0
406,LPL,Blue,eStar,1,25096.0,30650.0,533.0,24769.0,30924.0,566.0,327.0,-274.0,-33.0,2.0,3.0,1.0,1.0,1.0,2.0
407,LPL,Red,Bilibili Gaming,0,24769.0,30924.0,566.0,25096.0,30650.0,533.0,-327.0,274.0,33.0,1.0,1.0,2.0,2.0,3.0,1.0
